"","dataset","Species","koppen_geiger"
"1159","North American","Ceanothus greggii","Csa; Csb"
"1160","North American","Ceanothus incanus","Csa; Csb"
"1161","North American","Ceanothus velutinus","Csa; Csb"
"1162","North American","Colubrina elliptica",NA
"1163","North American","Condalia ericoides",NA
"1164","North American","Condalia hookeri",NA
"1165","North American","Frangula californica","Csa; Csb"
"1166","North American","Frangula caroliniana","Csa"
"1167","North American","Frangula purshiana","Csa; Csb"
"1168","North American","Reynosia septentrionalis",NA
"1169","North American","Sarcomphalus obtusifolius","Csa"
"1170","North American","Rhizophora mangle",NA
"1171","North American","Adenostoma fasciculatum","Csa; Csb"
"1172","North American","Amelanchier arborea",NA
"1173","North American","Amelanchier canadensis",NA
"1174","North American","Cercocarpus ledifolius","Csa; Csb"
"1175","North American","Chamaebatia australis","Csa; Csb"
"1176","North American","Chamaebatiaria millefolium","Csa; Csb"
"1177","North American","Coleogyne ramosissima","Csa; Csb"
"1178","North American","Crataegus douglasii","Csa; Csb"
"1179","North American","Fallugia paradoxa","Csa; Csb"
"1180","North American","Holodiscus discolor","Csa; Csb"
"1181","North American","Lyonothamnus floribundus","Csa; Csb"
"1182","North American","Oemleria cerasiformis","Csa; Csb"
"1183","North American","Peraphyllum ramosissimum","Csa"
"1184","North American","Petrophytum caespitosum","Csa"
"1185","North American","Photinia glabra","Csa; Csb"
"1186","North American","Physocarpus capitatus","Csa; Csb"
"1187","North American","Potentilla fruticosa","Csa; Csb"
"1188","North American","Prunus emarginata","Csa; Csb"
"1189","North American","Prunus serotina","Csa; Csb"
"1190","North American","Purshia stansburiana","Csa; Csb"
"1191","North American","Sorbus americana",NA
"1192","North American","Spiraea douglasii","Csa; Csb"
"1193","North American","Vauquelinia californica","Csb"
"1194","North American","Cephalanthus occidentalis","Csa; Csb"
"1195","North American","Exostema caribaeum",NA
"1196","North American","Guettarda elliptica",NA
"1197","North American","Pinckneya pubens",NA
"1198","North American","Randia aculeata",NA
"1199","North American","Amyris balsamifera",NA
"1200","North American","Amyris elemifera",NA
"1201","North American","Choisya dumosa","Csa"
"1202","North American","Citrus maxima","Csa; Csb"
"1203","North American","Cneoridium dumosum","Csa"
"1204","North American","Esenbeckia berlandieri",NA
"1205","North American","Ptelea trifoliata","Csa; Csb"
"1206","North American","Zanthoxylum americanum",NA
"1207","North American","Zanthoxylum clava-herculis",NA
"1208","North American","Zanthoxylum fagara",NA
"1209","North American","Zanthoxylum flavum",NA
"1210","North American","Populus balsamifera","Csa; Csb"
"1211","North American","Ryania angustifolia",NA
"1212","North American","Salix glauca","Csa; Csb"
"1213","North American","Buckleya distichophylla",NA
"1214","North American","Acer circinatum","Csa; Csb"
"1215","North American","Acer glabrum","Csa; Csb"
"1216","North American","Acer macrophyllum","Csa; Csb"
"1217","North American","Acer nigrum","Csa"
"1218","North American","Acer pensylvanicum",NA
"1219","North American","Acer rubrum","Csa; Csb"
"1220","North American","Acer saccharinum","Csa; Csb"
"1221","North American","Acer saccharum","Csa; Csb"
"1222","North American","Aesculus californica","Csa; Csb"
"1223","North American","Aesculus flava",NA
"1224","North American","Aesculus glabra","Csa"
"1225","North American","Aesculus x_neglecta","Csb"
"1226","North American","Cardiospermum corindum","Csa"
"1227","North American","Koelreuteria bipinnata","Csa; Csb"
"1228","North American","Sapindus drummondii",NA
"1229","North American","Sapindus marginatus","Csb"
"1230","North American","Sapindus saponaria","Csb"
"1231","North American","Ungnadia speciosa","Csa"
"1232","North American","Manilkara zapota",NA
"1233","North American","Sideroxylon celastrinum",NA
"1234","North American","Sideroxylon lanuginosum",NA
"1235","North American","Sideroxylon tenax",NA
"1236","North American","Sarcobatus vermiculatus","Csa; Csb"
"1237","North American","Buddleja sessiliflora",NA
"1238","North American","Buddleja utahensis",NA
"1239","North American","Ailanthus altissima","Csa; Csb"
"1240","North American","Leitneria floridana",NA
"1241","North American","Simarouba glauca",NA
"1242","North American","Simmondsia californica","Csa; Csb"
"1243","North American","Lycium carolinianum","Csa"
"1244","North American","Staphylea bolanderi","Csa; Csb"
"1245","North American","Styrax americanus",NA
"1246","North American","Styrax grandifolius",NA
"1247","North American","Styrax platanifolius",NA
"1248","North American","Suriana maritima",NA
"1249","North American","Symplocos tinctoria",NA
"1250","North American","Franklinia alatamaha",NA
"1251","North American","Gordonia lasianthus","Csa"
"1252","North American","Dirca palustris",NA
"1253","North American","Planera aquatica",NA
"1254","North American","Ulmus alata","Csa; Csb"
"1255","North American","Ulmus americana","Csa; Csb"
"1256","North American","Ulmus crassifolia",NA
"1257","North American","Ulmus rubra","Csa"
"1258","North American","Ulmus serotina","Csa; Csb"
"1259","North American","Ulmus thomasii","Csa; Csb"
"1260","North American","Citharexylum spinosum",NA
"1261","North American","Sambucus canadensis","Csa; Csb"
"1262","North American","Sambucus glauca",NA
"1263","North American","Sambucus nigra","Csa; Csb"
"1264","North American","Sambucus racemosa","Csa; Csb"
"1265","North American","Viburnum prunifolium",NA
"1266","North American","Phoradendron californicum","Csa; Csb"
"1267","North American","Phoradendron leucarpum","Csa; Csb"
"1268","North American","Phoradendron macrophyllum",NA
"1269","North American","Phoradendron pauciflorum","Csa; Csb"
"1270","North American","Phoradendron villosum","Csa; Csb"
"1271","North American","Parthenocissus quinquefolia","Csa; Csb"
"1272","North American","Larrea cuneifolia",NA
